strategies,memory,threshold,distribution,choice,crosses,std
18,3,6000.0,uniform,choice,False,2554.4594390203183
55,6,6000.0,uniform,mse,False,3876.4318512776667
56,6,6000.0,uniform,mse,False,4661.795935788993
19,5,6000.0,uniform,mse,False,3547.6098603989703
43,2,6000.0,uniform,choice,False,4438.328809856251
43,4,6000.0,uniform,mse,True,3780.203302733862
16,4,6000.0,uniform,mse,False,2996.5136801957037
9,4,6000.0,uniform,mse,False,2389.864421342768
50,4,6000.0,uniform,mse,False,3765.805630937423
33,5,6000.0,uniform,mse,False,3211.5452544842024
36,5,6000.0,uniform,mse,False,4166.6519905074865
2,3,6000.0,uniform,choice,False,0.0
29,6,6000.0,uniform,mse,False,4052.0955870265448
55,3,6000.0,uniform,choice,False,3227.796920749507
58,5,6000.0,uniform,mse,False,3324.1322000786913
47,2,6000.0,uniform,choice,False,4481.761627931588
47,4,6000.0,uniform,mse,False,3655.346091904295
54,7,6000.0,uniform,mse,False,3265.2244961104893
2,5,6000.0,uniform,mse,False,0.4714045207910317
57,6,6000.0,uniform,mse,False,3298.5793262554716
20,5,6000.0,uniform,mse,False,3623.6109008004705
25,6,6000.0,uniform,mse,False,3844.3123783584497
17,4,6000.0,uniform,mse,False,2775.390411167409
57,3,6000.0,uniform,choice,False,3281.4742689224304
52,6,6000.0,uniform,mse,False,4622.305695632597
40,5,6000.0,uniform,mse,False,3979.103283102865
17,2,6000.0,uniform,choice,False,3745.149119007146
32,3,6000.0,uniform,choice,False,2882.472988529121
51,4,6000.0,uniform,mse,False,4129.627170774621
26,3,6000.0,uniform,choice,False,2490.893529960684
34,5,6000.0,uniform,mse,False,3423.655253438932
37,5,6000.0,uniform,mse,False,3913.026884855252
30,6,6000.0,uniform,mse,False,4106.817668657814
3,5,6000.0,uniform,mse,False,0.4714045207910317
30,3,6000.0,uniform,choice,False,2772.2446172010145
59,5,6000.0,uniform,mse,False,3197.452827736478
55,7,6000.0,uniform,mse,False,3945.809744222344
58,3,6000.0,uniform,choice,False,3301.301665040625
56,7,6000.0,uniform,mse,False,2316.6146607496034
51,2,6000.0,uniform,choice,False,4518.308703751881
44,5,6000.0,uniform,mse,False,2952.739331536057
21,5,6000.0,uniform,mse,False,3441.014389042859
10,5,6000.0,uniform,mse,False,2039.746604262402
19,3,6000.0,uniform,choice,False,2598.422105817298
36,3,6000.0,uniform,choice,False,3022.7228525949913
26,6,6000.0,uniform,mse,False,3922.8750184016826
3,3,6000.0,uniform,choice,False,2018.9856630496413
53,3,6000.0,uniform,choice,False,3285.4990321106466
41,5,6000.0,uniform,mse,False,3195.4368712900587
4,5,6000.0,uniform,mse,False,7.121348186965724
53,6,6000.0,uniform,mse,False,4616.686501334047
40,3,6000.0,uniform,choice,False,3122.7669510227624
35,5,6000.0,uniform,mse,False,3107.78804560414
48,5,6000.0,uniform,mse,False,3506.599504990554
54,4,6000.0,uniform,choice,False,3479.2661985539416
31,6,6000.0,uniform,mse,False,2435.6397513589727
38,5,6000.0,uniform,mse,False,2857.985924457991
54,8,6000.0,uniform,mse,False,2271.6907431250406
60,5,6000.0,uniform,mse,False,3299.8704355777368
57,7,6000.0,uniform,mse,False,3973.14771152546
