strategies,memory,threshold,distribution,choice,crosses,std
83,5,6000.0,uniform,mse,False,3241.1239011182524
71,5,6000.0,uniform,mse,False,3423.1613269607965
98,5,6000.0,uniform,mse,False,4618.990219734179
2,8,6000.0,uniform,mse,False,72.91770978301498
44,5,6000.0,uniform,mse,False,3762.430740678159
29,5,6000.0,uniform,mse,False,2840.3092818212594
59,5,6000.0,uniform,mse,False,3437.4168080696877
83,5,6000.0,uniform,mse,False,4574.993119295372
62,8,6000.0,uniform,mse,False,2350.3347383723876
98,5,6000.0,uniform,mse,False,3672.626819267103
2,8,6000.0,uniform,mse,False,1.7209299811439163
2,8,6000.0,uniform,mse,False,90.4094623760719
44,5,6000.0,uniform,mse,False,3316.486211881485
29,5,6000.0,uniform,mse,False,2609.0989847838277
59,5,6000.0,uniform,mse,False,3113.232239907585
83,5,6000.0,uniform,mse,False,4187.056425509453
62,8,6000.0,uniform,mse,False,2602.4066001299643
98,5,6000.0,uniform,mse,False,4194.185184323649
5,8,6000.0,uniform,mse,False,33.57599737908019
44,5,6000.0,uniform,mse,False,3259.9809550977443
17,8,6000.0,uniform,mse,False,1442.5193516899521
59,5,6000.0,uniform,mse,False,3446.010227262827
86,5,6000.0,uniform,mse,False,4568.477182782026
62,8,6000.0,uniform,mse,False,2358.916511960523
98,5,6000.0,uniform,mse,False,4631.696558497761
5,8,6000.0,uniform,mse,False,43.4148546007009
44,5,6000.0,uniform,mse,False,4274.131336727967
17,8,6000.0,uniform,mse,False,1397.9737193524063
59,5,6000.0,uniform,mse,False,4024.8303815688932
86,5,6000.0,uniform,mse,False,4419.569761684954
62,8,6000.0,uniform,mse,False,3347.256898177969
5,8,6000.0,uniform,mse,False,27.127410491972874
101,5,6000.0,uniform,mse,False,4624.916591507354
17,8,6000.0,uniform,mse,False,1462.744910228711
32,8,6000.0,uniform,mse,False,2450.73384242353
59,5,6000.0,uniform,mse,False,4358.412773889137
5,8,6000.0,uniform,mse,False,37.215566635481984
62,8,6000.0,uniform,mse,False,3534.2545006832775
86,5,6000.0,uniform,mse,False,4243.470691591966
101,5,6000.0,uniform,mse,True,3836.8293070711393
17,8,6000.0,uniform,mse,False,1604.2334773966038
32,8,6000.0,uniform,mse,False,2001.6394280689017
47,8,6000.0,uniform,mse,False,3292.0574135941188
5,8,6000.0,uniform,mse,False,43.66309196564073
65,8,6000.0,uniform,mse,False,3365.787443318429
86,5,6000.0,uniform,mse,False,3636.565546556256
101,5,6000.0,uniform,mse,False,4368.880791415578
17,8,6000.0,uniform,mse,False,1397.8267165854286
32,8,6000.0,uniform,mse,False,1740.6194921349122
8,8,6000.0,uniform,mse,False,113.05326355307044
47,8,6000.0,uniform,mse,False,2984.52667711314
86,5,6000.0,uniform,mse,False,3106.3730663910924
65,8,6000.0,uniform,mse,False,2198.6712911210716
20,8,6000.0,uniform,mse,False,1703.3080431912485
101,5,6000.0,uniform,mse,False,4623.452597529254
32,8,6000.0,uniform,mse,False,1637.6279655648289
8,8,6000.0,uniform,mse,False,90.1696733941074
47,8,6000.0,uniform,mse,False,3351.6987013154985
20,8,6000.0,uniform,mse,False,1966.8122290650929
65,8,6000.0,uniform,mse,False,2817.846374875678
74,8,6000.0,uniform,mse,False,3594.656453181583
32,8,6000.0,uniform,mse,False,2064.9831368802993
101,5,6000.0,uniform,mse,False,4126.5497340514385
8,8,6000.0,uniform,mse,False,112.77382852417487
47,8,6000.0,uniform,mse,False,1670.1853842014066
20,8,6000.0,uniform,mse,False,1518.528448860936
65,8,6000.0,uniform,mse,False,3130.5814238891794
74,8,6000.0,uniform,mse,False,3148.859567780056
35,8,6000.0,uniform,mse,False,1890.9142382456164
8,8,6000.0,uniform,mse,False,120.53036795762301
89,8,6000.0,uniform,mse,False,3713.679220880554
47,8,6000.0,uniform,mse,False,3227.972210599094
20,8,6000.0,uniform,mse,False,1423.0101312358954
65,8,6000.0,uniform,mse,False,2195.872790122415
8,8,6000.0,uniform,mse,False,117.86912912209031
74,8,6000.0,uniform,mse,False,1848.7217314674483
35,8,6000.0,uniform,mse,False,2802.9216346519574
89,8,6000.0,uniform,mse,False,3213.192183732557
50,8,6000.0,uniform,mse,False,1849.7765729946955
20,8,6000.0,uniform,mse,False,1630.4449081155733
11,8,6000.0,uniform,mse,False,260.32714495419026
68,8,6000.0,uniform,mse,False,2971.933318296358
35,8,6000.0,uniform,mse,False,2052.2913895448664
74,8,6000.0,uniform,mse,False,2331.9513151864903
89,8,6000.0,uniform,mse,False,3649.356920061396
50,8,6000.0,uniform,mse,False,2009.4655512349543
23,8,6000.0,uniform,mse,False,1692.5639638134803
11,8,6000.0,uniform,mse,False,432.42235141121
35,8,6000.0,uniform,mse,False,2268.443175484015
68,8,6000.0,uniform,mse,False,2361.553612433984
74,8,6000.0,uniform,mse,False,2247.9350229933248
89,8,6000.0,uniform,mse,False,2468.611401091715
23,8,6000.0,uniform,mse,False,1615.4422088084734
50,8,6000.0,uniform,mse,False,2718.5401689141913
11,8,6000.0,uniform,mse,False,270.7728265539214
35,8,6000.0,uniform,mse,False,2335.826002852096
68,8,6000.0,uniform,mse,False,2604.080239086346
77,8,6000.0,uniform,mse,False,3092.5183123790875
23,8,6000.0,uniform,mse,False,1503.707205010337
89,8,6000.0,uniform,mse,False,3027.325526202955
11,8,6000.0,uniform,mse,False,263.3446600939537
50,8,6000.0,uniform,mse,False,2439.0022304212844
38,8,6000.0,uniform,mse,False,1981.1007186915056
68,8,6000.0,uniform,mse,False,3595.8839934569633
77,8,6000.0,uniform,mse,False,2499.66804684142
23,8,6000.0,uniform,mse,False,1704.442074228397
11,8,6000.0,uniform,mse,False,342.22061656188976
50,8,6000.0,uniform,mse,False,2429.209776779272
92,8,6000.0,uniform,mse,False,3846.7973264002353
38,8,6000.0,uniform,mse,False,2295.9030938608885
68,8,6000.0,uniform,mse,False,3673.637681699163
77,8,6000.0,uniform,mse,False,2516.0262004995097
14,8,6000.0,uniform,mse,False,719.6498095601777
23,8,6000.0,uniform,mse,False,1931.8282247653387
53,8,6000.0,uniform,mse,False,3567.4461299366526
92,8,6000.0,uniform,mse,False,2868.921867182862
38,8,6000.0,uniform,mse,False,2211.3744417443195
71,8,6000.0,uniform,mse,False,2172.3545188573617
14,8,6000.0,uniform,mse,False,913.1351551659809
77,8,6000.0,uniform,mse,False,2167.913248172076
26,8,6000.0,uniform,mse,False,1933.397946517995
53,8,6000.0,uniform,mse,False,3371.4679455097894
92,8,6000.0,uniform,mse,False,2480.140535453586
38,8,6000.0,uniform,mse,False,2220.851267509826
14,8,6000.0,uniform,mse,False,847.8667020233781
71,8,6000.0,uniform,mse,False,2323.366975834855
26,8,6000.0,uniform,mse,False,2024.013149759655
77,8,6000.0,uniform,mse,False,3460.13380810627
53,8,6000.0,uniform,mse,False,2831.4570807271652
92,8,6000.0,uniform,mse,False,2966.1971848816797
